"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","INDUSTRY","INDUSTRY_NAME","INDUSTRY_CODE","INDUSTRY_TYPE","INDUSTRY_TYPECODE","INDUSTRY_SORTORDER","EMPLOYMENT_STATUS","EMPLOYMENT_STATUS_NAME","EMPLOYMENT_STATUS_CODE","EMPLOYMENT_STATUS_TYPE","EMPLOYMENT_STATUS_TYPECODE","EMPLOYMENT_STATUS_SORTORDER","MEASURE","MEASURE_NAME","MEASURE_CODE","MEASURE_TYPE","MEASURE_TYPECODE","MEASURE_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994945","A : Agriculture, forestry and fishing","A","SIC 2007 section",36,0,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",300,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994945d0d1d1d3d20100",0,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994945","A : Agriculture, forestry and fishing","A","SIC 2007 section",36,0,"1","Employees","1","Employment",1000,0,"2","Industry percentage","2","percent",1000,1,"20100","Value",0.2,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994945d0d1d2d3d20100",1,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994946","B : Mining and quarrying","B","SIC 2007 section",36,1,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",100,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994946d0d1d1d3d20100",2,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994946","B : Mining and quarrying","B","SIC 2007 section",36,1,"1","Employees","1","Employment",1000,0,"2","Industry percentage","2","percent",1000,1,"20100","Value",0.1,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994946d0d1d2d3d20100",3,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994947","C : Manufacturing","C","SIC 2007 section",36,2,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",25000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994947d0d1d1d3d20100",4,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994947","C : Manufacturing","C","SIC 2007 section",36,2,"1","Employees","1","Employment",1000,0,"2","Industry percentage","2","percent",1000,1,"20100","Value",15.4,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994947d0d1d2d3d20100",5,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994948","D : Electricity, gas, steam and air conditioning supply","D","SIC 2007 section",36,3,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",200,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994948d0d1d1d3d20100",6,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994948","D : Electricity, gas, steam and air conditioning supply","D","SIC 2007 section",36,3,"1","Employees","1","Employment",1000,0,"2","Industry percentage","2","percent",1000,1,"20100","Value",0.1,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994948d0d1d2d3d20100",7,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994949","E : Water supply; sewerage, waste management and remediation activities","E","SIC 2007 section",36,4,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",900,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994949d0d1d1d3d20100",8,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994949","E : Water supply; sewerage, waste management and remediation activities","E","SIC 2007 section",36,4,"1","Employees","1","Employment",1000,0,"2","Industry percentage","2","percent",1000,1,"20100","Value",0.6,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994949d0d1d2d3d20100",9,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994950","F : Construction","F","SIC 2007 section",36,5,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",9000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994950d0d1d1d3d20100",10,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994950","F : Construction","F","SIC 2007 section",36,5,"1","Employees","1","Employment",1000,0,"2","Industry percentage","2","percent",1000,1,"20100","Value",5.6,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994950d0d1d2d3d20100",11,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994951","G : Wholesale and retail trade; repair of motor vehicles and motorcycles","G","SIC 2007 section",36,6,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",29000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994951d0d1d1d3d20100",12,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994951","G : Wholesale and retail trade; repair of motor vehicles and motorcycles","G","SIC 2007 section",36,6,"1","Employees","1","Employment",1000,0,"2","Industry percentage","2","percent",1000,1,"20100","Value",17.9,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994951d0d1d2d3d20100",13,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994952","H : Transportation and storage","H","SIC 2007 section",36,7,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",7000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994952d0d1d1d3d20100",14,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994952","H : Transportation and storage","H","SIC 2007 section",36,7,"1","Employees","1","Employment",1000,0,"2","Industry percentage","2","percent",1000,1,"20100","Value",4.3,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994952d0d1d2d3d20100",15,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994953","I : Accommodation and food service activities","I","SIC 2007 section",36,8,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",10000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994953d0d1d1d3d20100",16,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994953","I : Accommodation and food service activities","I","SIC 2007 section",36,8,"1","Employees","1","Employment",1000,0,"2","Industry percentage","2","percent",1000,1,"20100","Value",6.2,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994953d0d1d2d3d20100",17,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994954","J : Information and communication","J","SIC 2007 section",36,9,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",2500,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994954d0d1d1d3d20100",18,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994954","J : Information and communication","J","SIC 2007 section",36,9,"1","Employees","1","Employment",1000,0,"2","Industry percentage","2","percent",1000,1,"20100","Value",1.5,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994954d0d1d2d3d20100",19,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994955","K : Financial and insurance activities","K","SIC 2007 section",36,10,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",1750,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994955d0d1d1d3d20100",20,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994955","K : Financial and insurance activities","K","SIC 2007 section",36,10,"1","Employees","1","Employment",1000,0,"2","Industry percentage","2","percent",1000,1,"20100","Value",1.1,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994955d0d1d2d3d20100",21,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994956","L : Real estate activities","L","SIC 2007 section",36,11,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",2500,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994956d0d1d1d3d20100",22,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994956","L : Real estate activities","L","SIC 2007 section",36,11,"1","Employees","1","Employment",1000,0,"2","Industry percentage","2","percent",1000,1,"20100","Value",1.5,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994956d0d1d2d3d20100",23,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994957","M : Professional, scientific and technical activities","M","SIC 2007 section",36,12,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",9000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994957d0d1d1d3d20100",24,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994957","M : Professional, scientific and technical activities","M","SIC 2007 section",36,12,"1","Employees","1","Employment",1000,0,"2","Industry percentage","2","percent",1000,1,"20100","Value",5.6,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994957d0d1d2d3d20100",25,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994958","N : Administrative and support service activities","N","SIC 2007 section",36,13,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",13000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994958d0d1d1d3d20100",26,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994958","N : Administrative and support service activities","N","SIC 2007 section",36,13,"1","Employees","1","Employment",1000,0,"2","Industry percentage","2","percent",1000,1,"20100","Value",8.0,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994958d0d1d2d3d20100",27,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994959","O : Public administration and defence; compulsory social security","O","SIC 2007 section",36,14,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",6000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994959d0d1d1d3d20100",28,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994959","O : Public administration and defence; compulsory social security","O","SIC 2007 section",36,14,"1","Employees","1","Employment",1000,0,"2","Industry percentage","2","percent",1000,1,"20100","Value",3.7,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994959d0d1d2d3d20100",29,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994960","P : Education","P","SIC 2007 section",36,15,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",16000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994960d0d1d1d3d20100",30,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994960","P : Education","P","SIC 2007 section",36,15,"1","Employees","1","Employment",1000,0,"2","Industry percentage","2","percent",1000,1,"20100","Value",9.9,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994960d0d1d2d3d20100",31,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994961","Q : Human health and social work activities","Q","SIC 2007 section",36,16,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",22000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994961d0d1d1d3d20100",32,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994961","Q : Human health and social work activities","Q","SIC 2007 section",36,16,"1","Employees","1","Employment",1000,0,"2","Industry percentage","2","percent",1000,1,"20100","Value",13.6,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994961d0d1d2d3d20100",33,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994962","R : Arts, entertainment and recreation","R","SIC 2007 section",36,17,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",4000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994962d0d1d1d3d20100",34,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994962","R : Arts, entertainment and recreation","R","SIC 2007 section",36,17,"1","Employees","1","Employment",1000,0,"2","Industry percentage","2","percent",1000,1,"20100","Value",2.5,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994962d0d1d2d3d20100",35,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994963","S : Other service activities","S","SIC 2007 section",36,18,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",3000,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994963d0d1d1d3d20100",36,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994963","S : Other service activities","S","SIC 2007 section",36,18,"1","Employees","1","Employment",1000,0,"2","Industry percentage","2","percent",1000,1,"20100","Value",1.9,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994963d0d1d2d3d20100",37,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994964","T : Activities of households as employers;undifferentiated goods-and services-producing activities of households for own use","T","SIC 2007 section",36,19,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994964d0d1d1d3d20100",38,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994964","T : Activities of households as employers;undifferentiated goods-and services-producing activities of households for own use","T","SIC 2007 section",36,19,"1","Employees","1","Employment",1000,0,"2","Industry percentage","2","percent",1000,1,"20100","Value",0.0,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994964d0d1d2d3d20100",39,42
"2024","2024","2024","date",0,0,"E08000034","Kirklees","E08000034","local authorities: county / unitary (as of April 2023)",423,0,"150994965","U : Activities of extraterritorial organisations and bodies","U","SIC 2007 section",36,20,"1","Employees","1","Employment",1000,0,"1","Count","1","percent",1000,0,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-188d1d32384e0d1774190688d150994965d0d1d1d3d20100",40,42
